# PLAZA instance : diatoms_01
# File generation timestamp : Wed Apr 22 15:36:27 CEST 2020
#"transcript_id";"gene_id"
"Sro1032_g233630.1";"Sro1032_g233630"
"Sro1032_g233640.1";"Sro1032_g233640"
"Sro1033_g233650.1";"Sro1033_g233650"
"Sro1033_g233660.1";"Sro1033_g233660"
"Sro1033_g233670.1";"Sro1033_g233670"
"Sro1033_g233680.1";"Sro1033_g233680"
"Sro1033_g233690.1";"Sro1033_g233690"
"Sro1033_g233700.1";"Sro1033_g233700"
"Sro1033_g233710.1";"Sro1033_g233710"
"Sro1033_g233720.1";"Sro1033_g233720"
"Sro1033_g233730.1";"Sro1033_g233730"
"Sro1033_g233740.1";"Sro1033_g233740"
"Sro1033_g233750.1";"Sro1033_g233750"
"Sro1033_g233760.1";"Sro1033_g233760"
"Sro1033_g233770.1";"Sro1033_g233770"
"Sro1033_g233780.1";"Sro1033_g233780"
"Sro1034_g233790.1";"Sro1034_g233790"
"Sro1034_g233800.1";"Sro1034_g233800"
"Sro1034_g233810.1";"Sro1034_g233810"
"Sro1034_g233820.1";"Sro1034_g233820"
"Sro1034_g233830.1";"Sro1034_g233830"
"Sro1034_g233840.1";"Sro1034_g233840"
"Sro1034_g233850.1";"Sro1034_g233850"
"Sro1034_g233860.1";"Sro1034_g233860"
"Sro1034_g233870.1";"Sro1034_g233870"
"Sro1035_g233880.1";"Sro1035_g233880"
